IDIMOVEL;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020
2041894;80;0;0;0;800;0
2042562;0;0;0;0;0;400
2042889;0;0;0;0;800;1500
2046194;0;0;0;1650;1050;0
2048871;2200;2000;3000;4800;6010;5150
2049527;1335;1632;2769;1944;3845;4221
2058259;0;0;6360;2880;7780;12280
2061157;657;3285;5256;6720;12770;0
2061477;0;0;0;0;6400;20700
2064487;0;0;0;0;4600;12780
2067877;1360;4986;2650;4460;15190;13190
2083416;0;0;0;0;0;0
2086298;1950;2700;150;0;2160;0
2086817;0;0;0;0;16487;27669
2103758;0;0;0;0;0;0
2104066;2283;2038;2464;1849;3292;2011
2105092;0;0;0;400;4190;7510
2110006;1881;2273;3074;2461;5220;7500
2110106;0;0;0;320;5450;13420
2114811;0;0;0;0;10500;15400
2116834;2800;1200;0;1700;9650;20850
2121308;0;0;0;0;9895;14413
2125861;1869;267;0;1420;4279;6269
2128244;693;952;2973;2829;2731;4240
2128248;0;0;0;0;0;13250
2133659;0;0;0;0;100;0
2137779;0;0;0;0;0;0
2139954;2340;1150;4140;3220;500;9110
2143919;4862;1116;0;1140;381;0
2147719;0;0;0;0;37000;83250
2152951;0;760;11396;796;16808;19043
2158008;0;0;0;0;11283;27922
2159840;1595;125;0;2302;6159;9041
2160618;0;0;0;1400;5200;7750
2168594;0;0;0;0;0;6192
2170023;0;0;0;2000;16000;5000
2174158;3400;5100;25500;20700;27350;36980
2177053;1200;0;0;300;5900;2400
2177772;1200;0;0;1800;5100;1900
2201377;280;1760;2610;8370;10230;12740
2202427;0;0;0;0;2860;4015
2203552;10000;0;0;25000;58600;90900
2213850;0;0;0;550;8150;18315
2214217;5950;5060;4530;6700;8860;9530
2220700;0;0;0;0;8000;12800
2220886;0;1500;2750;7000;12320;16450
2223263;0;0;0;0;0;0
2314313;2730;2730;0;1890;2390;4822
2353434;564;1128;1410;2632;5880;6485
2359601;199;597;0;749;3708;11030
2372183;0;0;2250;1950;3805;7900
2373578;0;400;1400;0;3920;6800
2378346;0;0;0;0;2000;0
2383686;160;0;0;880;1360;2590
2385153;2132;1722;1804;1074;700;0
2389677;1820;420;0;1680;1560;5120
2389792;2210;2720;5100;4590;3970;3280
2390759;1350;750;4650;2850;0;1650
2393804;1300;0;4660;6890;9280;10176
2399397;1120;1280;720;2240;2580;3900
2399493;0;200;900;230;1150;2452
4045576;0;0;0;0;190;190
4047547;4010;5340;7380;10500;4680;12503
4057306;2730;900;0;2500;6140;10200
4059628;650;8450;0;594;2450;6385
4075739;0;1400;1120;1800;3740;10990
4097440;0;0;0;0;22500;27200
4105310;0;0;0;3850;9450;8320
4108729;0;0;0;0;0;0
4122016;42;924;210;0;1333;1690
4132628;7038;3598;12420;12006;20400;27100
4139727;0;0;0;0;900;6450
4140705;50;1160;1487;2059;3350;5490
4148993;3700;4070;11470;7770;8785;11375
4160764;0;0;0;0;3750;9700
4234722;0;0;0;575;5540;7330
4243873;1770;1651;0;1873;3018;7626
4245154;0;0;0;1400;2155;4385
4270534;0;1750;8000;0;4700;0
4272608;0;0;0;5244;7878;9207
4278297;0;360;900;0;1400;0
4278450;0;0;0;3150;15900;27900
4283388;0;0;0;3510;19790;24200
4293449;0;0;0;0;0;0
4310566;2800;0;0;2900;1600;0
4314949;7072;5792;12636;13964;7422;17416
4316275;0;0;2200;12650;12400;13600
4322831;4480;1200;550;8872;5330;0
4322958;300;0;0;0;900;1900
4330220;910;210;0;1570;2960;2890
4330674;0;0;0;0;0;0
4334502;1782;968;616;0;0;0
4364586;0;0;0;0;6472;21034
4371558;0;0;0;0;1697;8501
4374944;2300;2800;1400;3260;5530;9240
4378292;4760;2040;10900;8760;10590;15380
4386347;2750;750;0;2680;6050;12900
4387101;0;0;0;0;9600;1800
4396164;1196;2990;4784;9074;15988;27947
4400493;0;0;0;0;0;771
4402951;4000;960;0;2188;6948;6526
4406649;0;0;0;0;5350;8250
4417459;0;0;0;0;200;0
4423875;0;2372;4665;2860;3430;10470
4438905;432;2026;3248;2230;2489;4953
4439461;0;0;0;0;0;6259
4464468;0;0;0;6545;7735;0
4468712;0;0;0;8000;24600;28600
4474379;180;540;0;630;1670;5860
4480945;0;0;0;1600;7760;14910
4481971;0;130;715;522;3269;4380
4487693;1595;2440;2698;7050;0;0
4497101;0;0;0;0;35000;47500
4499611;14000;4000;0;3200;14200;31800
4511690;0;0;0;0;0;0
4514226;0;0;0;0;6280;8800
4515303;0;0;0;800;7300;17100
4516322;990;330;0;1955;13900;6500
4543873;1750;4550;10500;10150;13500;18200
4545914;1393;1800;4000;0;4400;0
4552099;0;0;0;0;2450;1050
4581052;0;2600;6230;5270;7830;9420
4582404;2600;3020;6000;600;9830;17450
4585577;168;42;42;0;462;0
4587329;0;0;0;0;0;0
4594602;1800;2700;9300;6900;9300;8100
4595149;4500;2100;9000;7800;9300;8700
4600623;0;0;0;0;980;0
4600814;11250;3750;0;13100;22550;47660
4602418;12600;11900;21000;20300;22200;24600
4603863;0;0;0;0;0;2476
4606531;0;0;0;0;2310;8740
4610902;0;0;3786;9293;16101;20059
4611343;16086;18224;34569;28977;36286;60171
4611456;1400;4310;5400;8400;14940;3250
5297598;520;120;0;710;1770;2391
5301367;1725;1794;1311;552;1458;1878
5329088;0;0;150;1500;2755;7620
5329222;0;0;0;1990;6000;4550
5332855;0;0;0;0;2800;11200
5337073;1830;488;0;2562;2196;0
5344016;3700;1370;1760;3890;1520;1200
5347075;5850;1350;0;450;6450;14030
5351234;0;817;2641;2487;1730;0
5351543;1100;840;4650;4390;6360;8410
5383167;360;3540;3240;6480;14480;19200
5385725;0;0;0;0;160;0
5419604;4407;1356;8136;598;4489;10586
5421282;800;1600;24800;16000;24800;6400
5427430;0;0;0;0;3540;7965
5432865;11200;3500;0;2400;20800;32500
5441332;0;0;0;0;2400;960
5446162;0;600;2700;0;4400;0
5446646;90;630;540;2674;4995;9255
5457927;3900;900;0;3900;6100;9400
5468047;0;0;0;588;882;0
5475732;500;0;0;500;7500;6000
5484025;2400;4600;5960;1278;4785;0
10229747;0;0;900;1000;5000;8400
10230039;1560;1056;1008;1774;2255;2870
10232061;3600;8400;0;0;3840;14810
10232552;0;0;0;0;9600;4800
10242360;600;5150;12100;7800;13820;4800
10242695;500;420;75;75;2050;1610
10248721;0;0;0;0;590;630
10293637;0;0;0;0;6834;12062
10305730;0;0;0;640;3720;8560
10338427;0;0;0;0;195;0
10342154;0;0;0;0;2100;10800
10349702;0;0;0;0;43200;18200
10349730;44;88;1395;675;500;985
10353096;0;0;0;0;158;1896
10355872;825;905;0;730;5930;7105
10358229;0;0;0;7200;25063;36234
10361573;0;0;0;0;2450;3930
10363087;0;0;0;0;0;0
10366668;0;0;0;0;0;0
10367722;0;0;0;0;0;0
10375110;2930;3420;4070;4190;2940;5400
16251623;6565;4040;0;7361;6502;2598
16251833;0;0;0;0;0;0
16254045;4607;0;0;2608;7966;10000
16254362;1311;0;2780;1147;3092;6085
16256300;270;1625;4820;5760;4820;7367
16258484;0;0;0;1380;2200;6890
16271766;0;0;0;150;5520;4240
16273044;440;0;0;0;0;0
16273913;0;0;0;0;449;0
16274172;0;780;2730;9180;8650;21100
16274926;0;0;0;4000;0;0
16289502;4500;1500;0;0;4900;10900
16292880;0;540;0;2430;2960;6800
16293415;0;0;0;0;3520;6970
16294535;0;0;0;0;0;0
16295028;5586;1596;0;6783;3192;7485
16295275;1584;2970;3069;2970;5735;5841
16297986;0;900;600;1470;3720;6980
16298244;0;0;0;0;0;0
16298573;0;0;0;1040;4000;5920
16298656;70;0;0;0;0;0
16298774;0;0;0;1300;3500;7090
16300369;0;0;0;0;9030;24120
16300586;180;900;2340;4120;8350;11310
16323152;0;0;0;4000;16100;31400
16323237;0;0;0;0;0;0
16324272;1140;720;0;1370;3650;5240
16325753;8400;13000;0;0;8800;22400
16325954;290;3360;8680;2250;8700;35700
16329240;0;5000;0;5280;5100;6480
16329698;0;2000;100;2978;4480;6481
16329730;0;0;0;1260;5550;8490
16329757;0;0;0;0;2800;700
16329839;6474;1494;0;1494;7286;13686
16330186;0;0;0;0;3000;2430
16330239;1820;420;150;300;3350;5794
16331050;0;0;0;0;0;0
16332750;1561;1831;2473;2087;6742;7410
