IDIMOVEL;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020
2159840;23;1;0;22;18;29
2160618;0;0;0;7;21;31
2168594;0;0;0;0;0;16
2170023;0;0;0;2;16;5
2174158;4;6;30;22;29;27
2177053;4;0;0;1;18;6
2177772;4;0;0;6;17;5
2201377;1;6;9;28;29;31
2202427;0;0;0;0;11;11
2203552;4;0;0;10;13;23
2213850;0;0;0;1;10;26
2214217;31;30;23;29;28;30
2220700;0;0;0;0;5;15
2220886;0;6;11;27;31;31
2223263;0;0;0;0;0;0
2314313;13;13;0;9;11;24
2353434;6;12;15;28;31;31
2359601;1;3;0;3;9;26
2372183;0;0;15;13;14;29
2373578;0;2;7;0;16;29
2378346;0;0;0;0;5;0
2383686;2;0;0;11;13;17
2385153;26;21;22;13;7;0
2389677;13;3;0;12;10;30
2389792;13;16;30;27;23;18
2390759;9;5;31;19;0;11
2393804;5;0;17;25;24;30
2399397;14;16;9;28;26;26
2399493;0;2;7;2;6;13
4045576;0;0;0;0;2;2
4047547;11;13;17;20;9;13
4057306;13;3;0;11;19;30
4059628;1;13;0;2;7;19
4075739;0;5;4;6;13;27
4097440;0;0;0;0;9;12
4105310;0;0;0;11;25;24
4108729;0;0;0;0;0;0
4122016;1;22;5;0;27;31
4132628;17;9;30;29;29;30
4139727;0;0;0;0;2;23
4140705;1;21;25;26;26;31
4148993;10;11;31;21;13;25
4160764;0;0;0;0;3;10
4234722;0;0;0;3;14;28
4243873;27;20;0;20;14;31
4245154;0;0;0;12;14;31
4270534;0;5;20;0;9;0
4272608;0;0;0;13;19;24
4278297;0;2;5;0;7;0
4278450;0;0;0;7;20;31
4283388;0;0;0;5;21;31
4293449;0;0;0;0;0;0
4310566;29;0;0;29;16;0
4314949;17;14;30;28;15;21
4316275;0;0;4;23;17;17
4322831;14;4;2;28;15;0
4322958;3;0;0;0;9;19
4330220;13;3;0;22;20;19
4330674;0;0;0;0;0;0
4334502;18;11;7;0;0;0
4364586;0;0;0;0;8;26
4371558;0;0;0;0;2;10
4374944;12;14;7;16;21;29
4378292;14;6;31;27;28;31
4386347;11;3;0;10;12;25
4387101;0;0;0;0;22;3
4396164;4;10;16;26;21;29
4400493;0;0;0;0;0;3
4402951;25;6;0;13;27;30
4406649;0;0;0;0;12;18
4417459;0;0;0;0;1;0
4423875;0;14;29;13;9;28
4438905;6;22;31;20;15;22
4439461;0;0;0;0;0;11
4464468;0;0;0;11;13;0
4468712;0;0;0;8;25;30
4474379;2;6;0;7;9;30
4480945;0;0;0;4;14;31
4481971;0;2;11;9;16;30
4487693;4;6;7;16;0;0
4497101;0;0;0;0;5;10
4499611;14;4;0;8;21;31
4511690;0;0;0;0;0;0
4514226;0;0;0;0;14;26
4515303;0;0;0;2;13;31
4516322;6;2;0;11;20;13
4543873;5;13;30;29;29;30
4545914;7;9;16;0;11;0
4552099;0;0;0;0;7;3
4581052;0;12;31;25;27;29
4582404;13;14;28;3;21;31
4585577;4;1;1;0;11;0
4587329;0;0;0;0;0;0
4594602;6;9;31;23;31;27
4595149;15;7;30;26;31;29
4600623;0;0;0;0;7;0
4600814;15;5;0;18;20;31
4602418;18;17;30;29;30;30
4603863;0;0;0;0;0;13
4606531;0;0;0;0;9;19
4610902;0;0;14;27;31;31
4611343;14;17;31;14;14;29
4611456;5;19;23;30;30;5
5297598;13;3;0;11;20;30
5301367;25;26;19;8;20;26
5329088;0;0;1;10;18;28
5329222;0;0;0;8;12;9
5332855;0;0;0;0;4;19
5337073;15;4;0;21;18;0
5344016;19;7;9;19;8;3
5347075;13;3;0;1;14;31
5351234;0;9;31;26;13;0
